
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,Latitude,Longitude,Speed (m/s),Altitude (m),
0.034413,-0.0234,-0.0244,1.0021,-0.0273,0.0133,-0.0204,0.0003,-0.0016,0.0011,-12.0000,-8.7375,49.2750,129.0336,1.3102,-1.2739,-∞,0.00000000,0.00000000,0.00000000,333.39855957,
0.034834,-0.0234,-0.0205,1.0031,-0.0273,0.0133,-0.0204,0.0003,-0.0016,0.0011,-12.0000,-8.7375,49.2750,129.0336,1.3102,-1.2739,-∞,33.41445034,-111.92187892,0.00000000,333.39855957,
0.068241,-0.0288,-0.0195,1.0001,0.0238,-0.0343,0.0377,0.0024,-0.0005,0.0021,-11.5125,-8.5875,49.8375,128.0884,1.3051,-1.2864,-∞,33.41445034,-111.92187892,0.00000000,333.39855957,
0.170397,-0.0249,-0.0219,1.0050,-0.0209,-0.0293,-0.0094,0.0013,-0.0037,0.0021,-11.8313,-8.3813,47.0438,125.9565,1.2778,-1.3123,-∞,33.41445034,-111.92187892,0.00000000,333.39855957,
0.272993,-0.0229,-0.0219,1.0021,0.0059,0.0110,0.0019,0.0003,-0.0016,0.0011,-11.4563,-9.4500,51.6000,126.8365,1.2938,-1.3043,-∞,33.41445034,-111.92187892,0.00000000,333.39855957,
0.373764,-0.0229,-0.0219,1.0035,0.0101,0.0003,0.0209,0.0024,0.0005,0.0011,-11.0063,-9.7688,49.1813,127.1903,1.2869,-1.2858,-∞,33.41445034,-111.92187892,0.00000000,333.39855957,
0.472976,-0.0258,-0.0249,0.9987,-0.0191,-0.0077,-0.0210,0.0013,0.0005,0.0032,-11.6438,-9.1125,49.0500,127.0855,1.2816,-1.2815,77.2729,33.41445034,-111.92187892,0.00000000,333.39855957,
0.573532,-0.0253,-0.0263,1.0026,-0.0218,0.0136,-0.0236,0.0003,0.0005,0.0032,-10.9125,-9.9938,51.1688,127.1151,1.2811,-1.2937,77.2729,33.41445034,-111.92187892,0.00000000,333.50451660,
0.673985,-0.0200,-0.0273,1.0060,-0.0064,0.0116,-0.0129,0.0003,-0.0005,0.0032,-12.2250,-8.4563,50.4375,127.0948,1.2819,-1.2860,77.2729,33.41445142,-111.92187883,0.00000000,333.50451660,
0.774176,-0.0234,-0.0219,1.0011,0.0039,-0.0276,-0.0055,0.0003,-0.0016,0.0021,-11.1938,-8.9813,49.1438,127.0887,1.2765,-1.2762,78.7365,33.41445142,-111.92187883,0.00000000,333.50451660,
0.874554,-0.0239,-0.0180,1.0016,-0.0057,-0.0256,0.0297,0.0013,-0.0027,0.0021,-10.6313,-9.8813,54.0000,127.0955,1.2744,-1.2765,78.7365,33.41445142,-111.92187883,0.00000000,333.50451660,
0.974846,-0.0244,-0.0224,1.0001,-0.0041,0.0078,0.0410,0.0013,-0.0037,0.0011,-11.1188,-8.5688,48.0000,127.1198,1.2732,-1.2854,78.7365,33.41445142,-111.92187883,0.00000000,333.50451660,
1.075794,-0.0224,-0.0244,0.9962,0.0169,-0.0068,0.0420,0.0024,-0.0016,0.0000,-11.0625,-8.4750,48.2438,127.1161,1.2720,-1.2822,81.0493,33.41445142,-111.92187883,0.00000000,333.50451660,
1.175721,-0.0219,-0.0224,0.9996,0.0056,0.0093,0.0524,0.0024,-0.0005,0.0021,-11.3063,-9.6375,50.0813,127.1038,1.2689,-1.2727,81.0493,33.41445142,-111.92187883,0.00000000,333.50451660,
1.275973,-0.0239,-0.0234,0.9996,-0.0104,-0.0425,0.0065,0.0024,-0.0027,0.0011,-11.4375,-9.7125,49.1063,127.0996,1.2729,-1.2762,81.0493,33.41445142,-111.92187883,0.00000000,333.50451660,
1.377824,-0.0244,-0.0180,0.9996,0.0259,-0.0242,0.0310,0.0003,-0.0005,0.0021,-10.8375,-9.4875,50.1000,127.1270,1.2671,-1.2805,82.2307,33.41445142,-111.92187883,0.00000000,333.50451660,
1.477739,-0.0224,-0.0209,0.9996,0.0260,-0.0138,0.0122,0.0013,-0.0005,0.0011,-11.4000,-10.4625,53.4188,127.1220,1.2585,-1.2671,82.2307,33.41445142,-111.92187883,0.00000000,333.50451660,
1.578272,-0.0234,-0.0244,1.0011,0.0063,0.0086,0.0082,0.0013,-0.0016,0.0032,-11.1938,-8.6625,48.5438,127.0927,1.2645,-1.2622,82.2307,33.41445142,-111.92187883,0.00000000,333.50451660,
1.679295,-0.0239,-0.0253,1.0065,-0.0118,0.0041,-0.0041,0.0013,-0.0005,0.0021,-10.9125,-9.3188,49.8000,127.1010,1.2657,-1.2674,82.6296,33.41445142,-111.92187883,0.00000000,333.50451660,
1.779394,-0.0209,-0.0224,1.0026,-0.0110,-0.0338,-0.0320,0.0024,-0.0027,0.0021,-10.6313,-9.1688,50.6250,127.1123,1.2654,-1.2720,82.6296,33.41445142,-111.92187883,0.00000000,333.50451660,
1.880502,-0.0195,-0.0195,0.9977,0.0158,-0.0474,0.0343,0.0024,-0.0005,0.0000,-11.3813,-9.4125,50.6625,127.0706,1.2713,-1.2615,82.6296,33.41445142,-111.92187883,0.00000000,333.50451660,
1.980700,-0.0244,-0.0200,0.9972,0.0033,-0.0294,0.0553,0.0013,-0.0016,0.0011,-10.7812,-8.5125,47.2875,127.0811,1.2653,-1.2582,82.7737,33.41445142,-111.92187883,0.00000000,333.50451660,
2.081918,-0.0244,-0.0234,0.9933,0.0176,-0.0114,0.0175,0.0013,0.0027,0.0021,-11.1188,-8.5875,51.0750,127.1332,1.2585,-1.2719,82.7737,33.41445142,-111.92187883,0.00000000,333.50451660,
2.180148,-0.0214,-0.0253,1.0001,0.0024,0.0074,0.0189,0.0013,0.0005,0.0000,-10.9688,-8.9813,49.5750,127.1313,1.2557,-1.2675,82.7737,33.41445142,-111.92187883,0.00000000,333.50451660,
2.280416,-0.0229,-0.0214,0.9957,0.0226,-0.0059,0.0343,0.0003,0.0005,0.0011,-10.9125,-9.4313,50.7000,127.1335,1.2501,-1.2611,83.0114,33.41445142,-111.92187883,0.00000000,333.50451660,
2.382072,-0.0244,-0.0185,0.9967,-0.0022,-0.0191,0.0356,0.0003,-0.0005,0.0021,-10.9688,-9.4500,52.5000,127.1428,1.2419,-1.2543,83.0114,33.41445142,-111.92187883,0.00000000,333.50451660,
2.481071,-0.0205,-0.0229,1.0011,-0.0303,-0.0082,0.0251,0.0013,-0.0027,0.0000,-11.9250,-8.4938,51.2438,127.1212,1.2512,-1.2572,83.0114,33.41445142,-111.92187883,0.00000000,333.50451660,
2.582207,-0.0209,-0.0234,1.0031,-0.0099,0.0228,-0.0240,0.0013,-0.0005,0.0011,-11.2313,-8.7375,49.0688,127.1148,1.2486,-1.2509,84.7814,33.41445142,-111.92187883,0.00000000,333.50451660,
2.683039,-0.0234,-0.0224,1.0021,0.0091,-0.0051,0.0603,0.0013,-0.0027,0.0011,-11.7188,-8.7938,51.3375,127.1430,1.2398,-1.2517,84.7814,33.41445142,-111.92187883,0.00000000,333.50451660,
2.783743,-0.0229,-0.0229,0.9933,-0.0166,-0.0204,0.0702,0.0024,-0.0005,0.0011,-11.1188,-8.8500,48.9938,127.1235,1.2474,-1.2531,84.7814,33.41445142,-111.92187883,0.00000000,333.50451660,
2.883788,-0.0209,-0.0190,1.0021,-0.0076,-0.0195,-0.0162,0.0003,0.0005,0.0021,-11.2688,-9.9375,50.4000,127.1024,1.2522,-1.2503,82.3877,33.41445142,-111.92187883,0.00000000,333.50451660,
2.984035,-0.0209,-0.0224,1.0040,-0.0252,0.0150,-0.0058,-0.0008,0.0016,0.0021,-11.2125,-8.8313,51.7500,127.1058,1.2459,-1.2435,82.3877,33.41445142,-111.92187883,0.00000000,333.50451660,
3.085206,-0.0195,-0.0253,1.0021,-0.0292,-0.0072,0.0049,0.0013,-0.0005,0.0011,-11.7375,-8.6625,50.3438,127.1313,1.2415,-1.2488,82.3877,33.41445142,-111.92187883,0.00000000,333.50451660,
