v,R,kp,krate,max_felt,effort
5.0,20.0,2.0,0.5,1.25,0.09433956515698019
5.0,20.0,2.0,1.0,1.25,0.060585720259902116
5.0,20.0,2.0,1.5,1.25,0.04353746223719617
5.0,20.0,2.0,2.0,1.25,0.03422017370946724
5.0,20.0,2.0,2.5,1.25,0.029069086511925427
5.0,20.0,2.0,3.0,1.25,0.025493513139497465
5.0,20.0,2.0,3.5,1.25,0.022572579184836235
5.0,20.0,2.0,4.0,1.25,0.020165478355049612
5.0,20.0,2.0,4.5,1.25,0.018164019693371083
5.0,20.0,2.0,5.0,1.25,0.0164767046638364
5.0,20.0,2.888888888888889,0.5,1.25,0.13054966435146642
5.0,20.0,2.888888888888889,1.0,1.25,0.0856890983935767
5.0,20.0,2.888888888888889,1.5,1.25,0.06218156745147397
5.0,20.0,2.888888888888889,2.0,1.25,0.04868243390518225
5.0,20.0,2.888888888888889,2.5,1.25,0.04029617670122209
5.0,20.0,2.888888888888889,3.0,1.25,0.03513850622455536
5.0,20.0,2.888888888888889,3.5,1.25,0.031685704205988055
5.0,20.0,2.888888888888889,4.0,1.25,0.028758620495714173
5.0,20.0,2.888888888888889,4.5,1.25,0.026249898905750323
5.0,20.0,2.888888888888889,5.0,1.25,0.02408046231487965
5.0,20.0,3.7777777777777777,0.5,1.25,0.17582690368756004
5.0,20.0,3.7777777777777777,1.0,1.25,0.11313770996260342
5.0,20.0,3.7777777777777777,1.5,1.25,0.08100814231380374
5.0,20.0,3.7777777777777777,2.0,1.25,0.0628803233734192
5.0,20.0,3.7777777777777777,2.5,1.25,0.05176634679188437
5.0,20.0,3.7777777777777777,3.0,1.25,0.04454944937518069
5.0,20.0,3.7777777777777777,3.5,1.25,0.03979726495253803
5.0,20.0,3.7777777777777777,4.0,1.25,0.03645985084242489
5.0,20.0,3.7777777777777777,4.5,1.25,0.03358710616135388
5.0,20.0,3.7777777777777777,5.0,1.25,0.031067162947580433
5.0,20.0,4.666666666666666,0.5,1.25,0.21648747519599723
5.0,20.0,4.666666666666666,1.0,1.25,0.13999783167644295
5.0,20.0,4.666666666666666,1.5,1.25,0.10019716803551695
5.0,20.0,4.666666666666666,2.0,1.25,0.07741398588479627
5.0,20.0,4.666666666666666,2.5,1.25,0.06332815170135198
5.0,20.0,4.666666666666666,3.0,1.25,0.054103291177229396
